%Reference (Lon,Lat): -178.03912286128747,51.89182066981587, Dimensions: 584,1046, Extent: -178.23947255962042,-177.9490126888034,51.771210869054066,51.93343579690399
-178.177 51.909 -164.401047 39.334167 -0.024024 9.2741e-05 86 91 219 228  
-178.181 51.906 -164.401062 39.346161 -0.0234 6.398e-06 91 109 195 228  
-178.174 51.911 -164.401062 39.318439 -0.02208 3.9551e-05 73 82 228 244  
-178.174 51.91 -164.401062 39.31982 -0.024089 2.7105e-05 82 91 228 244  
-178.169 51.911 -164.401062 39.29842 -0.024141 5.5641e-05 73 82 244 261  
-178.169 51.91 -164.401062 39.302132 -0.020031 5.1921e-05 82 91 244 261  
-178.172 51.906 -164.401062 39.311298 -0.020609 6.007e-06 91 109 228 261  
-178.176 51.898 -164.401077 39.329613 -0.018863 1.82e-06 109 146 195 261  
-178.223 51.883 -164.401062 39.497299 -0.073627 5.3465e-05 180 182 60 62  
-178.222 51.883 -164.401062 39.496006 -0.076229 0.001478269 180 182 62 65  
-178.226 51.882 -164.401062 39.508171 -0.068368 0.002594949 184 186 48 52  
-178.225 51.883 -164.401062 39.504494 -0.067658 0.001138708 182 184 52 56  
-178.225 51.882 -164.401062 39.505539 -0.080867 0.001498537 184 186 52 56  
-178.226 51.882 -164.401062 39.507912 -0.068096 0.002063274 186 188 48 52  
-178.226 51.881 -164.401077 39.506573 -0.075079 0.000526864 188 191 48 52  
-178.225 51.882 -164.401062 39.505089 -0.081414 0.000457114 186 188 52 56  
-178.225 51.881 -164.401062 39.505081 -0.084278 0.000413971 188 189 52 54  
-178.225 51.881 -164.401062 39.504108 -0.075607 0.001216133 189 191 52 54  
-178.224 51.881 -164.401062 39.5042 -0.079848 5.3465e-05 188 189 54 56  
-178.224 51.881 -164.401062 39.503014 -0.079499 0.001804036 189 191 54 56  
-178.224 51.883 -164.401062 39.501785 -0.078487 0.000509775 182 184 56 60  
-178.224 51.882 -164.401062 39.502781 -0.075429 0.001533325 184 186 56 60  
-178.222 51.883 -164.401077 39.497925 -0.077926 0.001045335 182 184 60 65  
-178.222 51.882 -164.401077 39.498669 -0.075431 0.001616097 184 186 60 65  
-178.224 51.882 -164.401062 39.502583 -0.075821 0.000815795 186 188 56 60  
-178.224 51.881 -164.401062 39.502857 -0.083976 0.00042277 188 189 56 58  
-178.224 51.881 -164.401062 39.50235 -0.080776 0.002443481 189 191 56 58  
-178.223 51.881 -164.401062 39.501492 -0.078754 5.3465e-05 188 189 58 60  
-178.223 51.881 -164.401062 39.50111 -0.052405 0.005525668 189 191 58 60  
-178.222 51.882 -164.401077 39.498726 -0.07434 0.000417249 186 188 60 65  
-178.223 51.881 -164.401062 39.499527 -0.075118 0.001644459 188 189 60 62  
-178.223 51.881 -164.401062 39.499531 -0.075745 0.000995742 189 191 60 62  
-178.222 51.881 -164.401062 39.498001 -0.076588 0.001093052 188 189 62 65  
-178.222 51.881 -164.401062 39.498062 -0.079748 0.000247024 189 191 62 65  
-178.215 51.888 -164.401062 39.473396 -0.08004 0.00342699 159 164 81 89  
-178.213 51.89 -164.401062 39.465954 -0.043135 0.000974698 155 159 89 97  
-178.214 51.889 -164.401062 39.467525 -0.020213 0.001545514 159 161 89 93  
-178.214 51.888 -164.401077 39.468555 -0.043415 0.0014198 161 164 89 93  
-178.213 51.889 -164.401062 39.465065 -0.035475 0.001579459 159 161 93 97  
-178.213 51.888 -164.401077 39.465824 -0.042083 0.002186378 161 164 93 97  
-178.217 51.886 -164.401062 39.47863 -0.050965 0.001292629 168 170 77 81  
-178.218 51.886 -164.401077 39.479134 -0.069644 0.003466849 170 173 77 81  
-178.22 51.885 -164.401062 39.488476 -0.067097 0.001182577 173 177 65 73  
-178.221 51.884 -164.401062 39.490543 -0.070539 0.000903159 177 179 65 69  
-178.221 51.884 -164.401062 39.493084 -0.074606 0.001137625 179 180 65 67  
-178.221 51.883 -164.401062 39.494583 -0.075284 0.001736756 180 182 65 67  
-178.221 51.884 -164.401062 39.492119 -0.078383 0.002571393 179 180 67 69  
-178.221 51.883 -164.401062 39.492386 -0.075824 0.000735871 180 182 67 69  
-178.22 51.884 -164.401062 39.488621 -0.070408 0.000525682 177 179 69 73  
-178.22 51.884 -164.401062 39.490166 -0.075293 0.000154017 179 180 69 71  
-178.22 51.883 -164.401062 39.490982 -0.075451 0.000919195 180 182 69 71  
-178.22 51.884 -164.401062 39.488358 -0.077109 0.002008857 179 180 71 73  
-178.22 51.883 -164.401062 39.489834 -0.072162 0.000420946 180 182 71 73  
-178.219 51.885 -164.401062 39.483044 -0.059823 0.001646003 173 175 73 77  
-178.219 51.885 -164.401062 39.4855 -0.06681 0.000715677 175 177 73 77  
-178.218 51.885 -164.401062 39.482296 -0.065126 0.000295165 173 175 77 81  
-178.218 51.885 -164.401062 39.482559 -0.062111 0.000383005 175 177 77 81  
-178.219 51.884 -164.401062 39.485947 -0.070616 0.000478241 177 179 73 77  
-178.219 51.884 -164.401062 39.487427 -0.078287 0.001526395 179 180 73 75  
-178.219 51.883 -164.401062 39.488567 -0.075856 0.00067528 180 182 73 75  
-178.219 51.884 -164.401062 39.485771 -0.070215 5.3465e-05 179 180 75 77  
-178.219 51.883 -164.401062 39.486946 -0.073364 0.00045204 180 182 75 77  
-178.218 51.884 -164.401062 39.483444 -0.066408 0.000602434 177 179 77 81  
